field,year,total_works
cs,1970,260994
cs,1971,252839
cs,1972,267188
cs,1973,274549
cs,1974,285315
cs,1975,298394
cs,1976,304828
cs,1977,316423
cs,1978,329468
cs,1979,346691
cs,1980,371421
cs,1981,378567
cs,1982,385705
cs,1983,402290
cs,1984,411058
cs,1985,430462
cs,1986,459976
cs,1987,477512
cs,1988,500730
cs,1989,543541
cs,1990,589489
cs,1991,606122
cs,1992,639753
cs,1993,672149
cs,1994,719712
cs,1995,761494
cs,1996,828890
cs,1997,876270
cs,1998,924083
cs,1999,998364
cs,2000,1202746
cs,2001,1253460
cs,2002,1638494
cs,2003,1646872
cs,2004,1806290
cs,2005,1942373
cs,2006,2108933
cs,2007,2260070
cs,2008,2423763
cs,2009,2632640
cs,2010,2811297
cs,2011,3068753
cs,2012,3123758
cs,2013,3244752
cs,2014,3412715
cs,2015,3543182
cs,2016,3575073
cs,2017,3380188
cs,2018,3419376
cs,2019,3601818
cs,2020,3972125
cs,2021,3595274
cs,2022,3792632
cs,2023,3824694
cs,2024,3805141
physics,1970,163974
physics,1971,162133
physics,1972,172171
physics,1973,179425
physics,1974,189856
physics,1975,197325
physics,1976,197971
physics,1977,204338
physics,1978,209157
physics,1979,219652
physics,1980,232729
physics,1981,239333
physics,1982,238335
physics,1983,251192
physics,1984,261429
physics,1985,276581
physics,1986,287271
physics,1987,304475
physics,1988,316091
physics,1989,333976
physics,1990,359382
physics,1991,369355
physics,1992,385103
physics,1993,404222
physics,1994,416269
physics,1995,432278
physics,1996,469237
physics,1997,475859
physics,1998,499394
physics,1999,515150
physics,2000,586199
physics,2001,606004
physics,2002,789713
physics,2003,778877
physics,2004,806980
physics,2005,906221
physics,2006,981120
physics,2007,1017930
physics,2008,1081751
physics,2009,1160362
physics,2010,1241887
physics,2011,1326987
physics,2012,1372856
physics,2013,1445252
physics,2014,1492347
physics,2015,1523470
physics,2016,1549125
physics,2017,1563950
physics,2018,1634130
physics,2019,1680278
physics,2020,1651597
physics,2021,1635108
physics,2022,1581019
physics,2023,1684112
physics,2024,1529018
