work_id,expected_parquet,recomputed_inst_cc,authorship_countries_first,match,alt_disagree
W2020145096,IN,IN,IN,True,False
W2079197104,US,US,US,True,False
W1553939326,GB,GB,GB,True,False
W2505393027,US,US,US,True,False
W28648550,IN,IN,IN,True,False
W2075695240,US,US,US,True,False
W4235702274,GB,GB,GB,True,False
W4401117120,JP,JP,JP,True,False
W2327989338,US,US,US,True,False
W2005506903,DE,DE,DE,True,False
W3011976719,CN,CN,CN,True,False
W2805575032,LB,LB,LB,True,False
W1495098092,DE,DE,DE,True,False
W2000119994,GB,GB,GB,True,False
W2049164732,US,US,US,True,False
W2354648293,GB,GB,GB,True,False
W1969861689,NL,NL,NL,True,False
W4300712552,IT,IT,IT,True,False
W2123363399,US,US,US,True,False
W2020237702,TR,TR,TR,True,False
W2092797664,HK,HK,HK,True,False
W2092042964,DE,DE,DE,True,False
W4299379226,JP,JP,JP,True,False
W1885541879,US,US,US,True,False
W2045657570,US,US,US,True,False
W2072128450,GB,GB,GB,True,False
W2040499217,CN,CN,CN,True,False
W2401515535,US,US,US,True,False
W2249324587,DE,DE,DE,True,False
W1978513996,RU,RU,RU,True,False
