field,year,n_authors,n_unique_authors,n_papers,gg_coverage,gz_coverage,gz_cache_coverage,gz_coverage_within_cache,gender_coverage,paper_country_coverage,author_country_coverage,orcid_coverage,h5_pass_gg,h5_pass_gz,h5_pass,h6_pass
cs,1975,35,35,23,0.5714285714285714,0.7142857142857143,0.7428571428571429,0.9615384615384616,0.5714285714285714,0.5217391304347826,0.5428571428571428,0.14285714285714285,False,False,False,False
cs,1990,29,29,19,0.6896551724137931,0.7586206896551724,0.7931034482758621,0.9565217391304348,0.6896551724137931,0.42105263157894735,0.4482758620689655,0.13793103448275862,False,False,False,False
cs,2005,113,112,63,0.3805309734513274,0.584070796460177,0.7964601769911505,0.7333333333333333,0.3805309734513274,0.5079365079365079,0.5663716814159292,0.3893805309734513,False,False,False,False
cs,2015,145,140,62,0.5035460992907801,0.6950354609929078,0.7872340425531915,0.8828828828828829,0.5035460992907801,0.46774193548387094,0.5172413793103449,0.503448275862069,False,False,False,False
cs,2024,541,294,92,0.4101694915254237,0.6847457627118644,0.8203389830508474,0.8347107438016529,0.4101694915254237,0.4891304347826087,0.32532347504621073,0.3512014787430684,False,False,False,False
physics,1975,50,47,30,0.22916666666666666,0.2916666666666667,0.4166666666666667,0.7,0.22916666666666666,0.5666666666666667,0.6,0.16,False,False,False,False
physics,1990,68,68,32,0.2647058823529412,0.35294117647058826,0.39705882352941174,0.8888888888888888,0.2647058823529412,0.625,0.6911764705882353,0.3382352941176471,False,False,False,False
physics,2005,134,130,43,0.32061068702290074,0.4198473282442748,0.48854961832061067,0.859375,0.32061068702290074,0.5348837209302325,0.5373134328358209,0.5746268656716418,False,False,False,False
physics,2015,169,163,63,0.4573170731707317,0.6402439024390244,0.7560975609756098,0.8467741935483871,0.4573170731707317,0.5238095238095238,0.6449704142011834,0.6094674556213018,False,False,False,False
physics,2024,227,222,40,0.23766816143497757,0.38565022421524664,0.5022421524663677,0.7678571428571429,0.23766816143497757,0.5,0.6255506607929515,0.6563876651982379,False,False,False,False
