metric,n,mean,sd,cv,n_subsamples,degenerate
cluster_entropy,200,2.9580710232784035,0.06552033633976016,0.02214968329838969,20,False
cluster_entropy,500,2.9396092688142144,0.046697538128535006,0.015885627598178024,20,False
cluster_entropy,1000,2.955954658311982,0.03851705907283201,0.013030328108898476,20,False
cluster_entropy,2000,2.9579824997862643,0.022498372562288645,0.007605985689203475,20,False
cluster_entropy,5000,2.9515719202092026,0.013451529225239157,0.004557411978728181,20,False
cluster_entropy,10000,2.954822899098577,0.0009103945267054591,0.0003081045997657564,20,False
effective_dim,200,21.22636463807043,2.3299122838193593,0.10976501739919035,20,True
effective_dim,500,21.50986690570289,1.6588919159372073,0.07712237008297745,20,True
effective_dim,1000,22.157615828146174,1.5284245289301606,0.06897964748484571,20,False
effective_dim,2000,22.328110108883365,0.8639198088796642,0.03869202564241874,20,False
effective_dim,5000,22.39311641890091,0.4360309140380243,0.019471649496270758,20,False
effective_dim,10000,22.519115420827877,0.03979608988069961,0.0017672137265166419,20,False
mean_pairwise_cosine,200,0.18057187795639038,0.002930357686915512,0.016228206297013856,20,False
mean_pairwise_cosine,500,0.17887265458703042,0.001719620762916925,0.009613659320297303,20,False
mean_pairwise_cosine,1000,0.1794278159737587,0.0013604338154675434,0.0075820675188205304,20,False
mean_pairwise_cosine,2000,0.1791045770049095,0.0008411595798561262,0.004696471714584205,20,False
mean_pairwise_cosine,5000,0.17908452749252318,0.00040734314119519546,0.00227458590029338,20,False
mean_pairwise_cosine,10000,0.17916572093963623,4.4699530416253705e-05,0.0002494870680720989,20,False
demographic_shannon,500,3.096009088444451,0.11252013725550121,0.0363436068955584,20,False
demographic_shannon,2000,3.1819947427739903,0.050835728474629444,0.015976056714132724,20,False
demographic_shannon,10000,3.1796662135741967,0.001743084590652657,0.0005481973495240847,20,False
