year,field,n_sampled,n_with_doi,n_s2ag_found,n_oa_abstract,n_s2ag_abstract,n_joint,coverage_oa,coverage_s2ag,coverage_joint,joint_ci_low,joint_ci_high,s2ag_fill_rate_on_no_abstract,n_oa_no_abstract
1970,cs,200,106,73,65,0,65,0.325,0.0,0.325,0.2639157153923429,0.3926801488397004,0.0,135
1970,physics,200,138,116,85,3,85,0.425,0.015,0.425,0.3585361254351385,0.49429067352145145,0.0,115
1971,cs,200,110,82,59,3,60,0.295,0.015,0.3,0.24074744682371402,0.36679068372719265,0.0070921985815602835,141
1971,physics,200,147,135,89,1,89,0.445,0.005,0.445,0.3778060100295335,0.5142669758719658,0.0,111
1972,cs,200,108,71,49,1,49,0.245,0.005,0.245,0.1905686808903718,0.30904243556203415,0.0,151
1972,physics,200,144,126,82,7,82,0.41,0.035,0.41,0.34415674908482885,0.4792354096630791,0.0,118
1973,cs,200,110,74,70,1,70,0.35,0.005,0.35,0.28728824127358077,0.4183653566395992,0.0,130
1973,physics,200,149,134,93,3,93,0.465,0.015,0.465,0.3971856415700402,0.5341335312763685,0.0,107
1974,cs,200,119,78,69,2,69,0.345,0.01,0.345,0.2825979437674894,0.4132441074094632,0.0,131
1974,physics,200,138,119,93,3,93,0.465,0.015,0.465,0.3971856415700402,0.5341335312763685,0.0,107
1975,cs,200,107,71,52,0,52,0.26,0.0,0.26,0.20413830063574684,0.32490745602534116,0.0,148
1975,physics,200,127,114,99,3,99,0.495,0.015,0.495,0.4264584535990475,0.5637299996647251,0.0,101
1976,cs,200,102,74,60,4,61,0.3,0.02,0.305,0.24536415630735034,0.37198552097978366,0.007142857142857143,140
1976,physics,200,139,122,97,2,98,0.485,0.01,0.49,0.42156278331213176,0.5588141232154136,0.009708737864077669,103
1977,cs,200,117,81,73,2,74,0.365,0.01,0.37,0.30612608409859116,0.4387737007594981,0.007874015748031496,127
1977,physics,200,142,126,92,2,92,0.46,0.01,0.46,0.39233051799971463,0.5291771081104667,0.0,108
1978,cs,200,118,71,66,0,66,0.33,0.0,0.33,0.26857425870603957,0.39783315226223115,0.0,134
1978,physics,200,142,117,100,3,102,0.5,0.015,0.51,0.44118587678458643,0.5784372166878682,0.02,100
1979,cs,200,119,80,66,1,66,0.33,0.005,0.33,0.26857425870603957,0.39783315226223115,0.0,134
1979,physics,200,147,127,109,0,109,0.545,0.0,0.545,0.47578611372488105,0.6125178069011651,0.0,91
1980,cs,200,95,69,64,1,64,0.32,0.005,0.32,0.25926533315468053,0.38751898434113546,0.0,136
1980,physics,200,145,126,90,1,90,0.45,0.005,0.45,0.3826406840224836,0.5192438486152432,0.0,110
1981,cs,200,120,87,80,6,81,0.4,0.03,0.405,0.3393777128250677,0.47420289918661307,0.008333333333333333,120
1981,physics,200,149,126,106,2,106,0.53,0.01,0.53,0.4609168291500183,0.5979524512673458,0.0,94
1982,cs,200,122,89,68,5,68,0.34,0.025,0.34,0.27791545970908793,0.4081150447316374,0.0,132
1982,physics,200,141,119,94,3,94,0.47,0.015,0.47,0.40204754873265425,0.5390831708499817,0.0,106
1983,cs,200,117,76,71,1,71,0.355,0.005,0.355,0.2919862754043116,0.42347886924509565,0.0,129
1983,physics,200,145,118,87,4,88,0.435,0.02,0.44,0.37297819251185865,0.5092832466534134,0.008849557522123894,113
1984,cs,200,107,72,68,0,68,0.34,0.0,0.34,0.27791545970908793,0.4081150447316374,0.0,132
1984,physics,200,147,124,107,1,107,0.535,0.005,0.535,0.4658664687236316,0.6028143584299599,0.0,93
1985,cs,200,118,82,76,1,76,0.38,0.005,0.38,0.31559005848673627,0.44893281984380773,0.0,124
1985,physics,200,155,134,95,2,95,0.475,0.01,0.475,0.4069162264657108,0.5440260398531525,0.0,105
1986,cs,200,115,84,71,3,73,0.355,0.015,0.365,0.301405264649268,0.433682973472594,0.015503875968992248,129
1986,physics,200,149,133,105,3,106,0.525,0.015,0.53,0.4609168291500183,0.5979524512673458,0.010526315789473684,95
1987,cs,200,120,77,71,1,72,0.355,0.005,0.36,0.2966919730456654,0.42858471833996925,0.007751937984496124,129
1987,physics,200,152,137,102,3,102,0.51,0.015,0.51,0.44118587678458643,0.5784372166878682,0.0,98
1988,cs,200,106,71,60,0,60,0.3,0.0,0.3,0.24074744682371402,0.36679068372719265,0.0,140
1988,physics,200,148,130,101,4,101,0.505,0.02,0.505,0.43627000033527485,0.5735415464009526,0.0,99
1989,cs,200,105,69,62,4,63,0.31,0.02,0.315,0.2546232099022851,0.3823495608573036,0.007246376811594203,138
1989,physics,200,144,129,101,4,102,0.505,0.02,0.51,0.44118587678458643,0.5784372166878682,0.010101010101010102,99
1990,cs,200,99,69,53,3,53,0.265,0.015,0.265,0.2086815414710911,0.3301757619262242,0.0,147
1990,physics,200,146,123,97,2,97,0.485,0.01,0.485,0.4166738517187752,0.5538915080725428,0.0,103
1991,cs,200,119,88,84,2,84,0.42,0.01,0.42,0.35373599161616726,0.4892792606041954,0.0,116
1991,physics,200,147,128,112,4,112,0.56,0.02,0.56,0.4907167533465867,0.6270218074881414,0.0,88
1992,cs,200,105,78,69,1,69,0.345,0.005,0.345,0.2825979437674894,0.4132441074094632,0.0,131
1992,physics,200,153,138,119,4,119,0.595,0.02,0.595,0.525797100813387,0.6606222871749323,0.0,81
1993,cs,200,110,82,82,3,83,0.41,0.015,0.415,0.34894285449757567,0.4842608509865596,0.00847457627118644,118
1993,physics,200,147,127,117,5,118,0.585,0.025,0.59,0.5207645903369208,0.6558432509151711,0.012048192771084338,83
1994,cs,200,114,83,88,4,89,0.44,0.02,0.445,0.3778060100295335,0.5142669758719658,0.008928571428571428,112
1994,physics,200,153,127,109,8,112,0.545,0.04,0.56,0.4907167533465867,0.6270218074881414,0.03296703296703297,91
1995,cs,200,93,70,79,5,82,0.395,0.025,0.41,0.34415674908482885,0.4792354096630791,0.024793388429752067,121
1995,physics,200,150,131,112,6,114,0.56,0.03,0.57,0.5007048776415268,0.6366567766656557,0.022727272727272728,88
1996,cs,200,106,71,74,1,74,0.37,0.005,0.37,0.30612608409859116,0.4387737007594981,0.0,126
1996,physics,200,150,127,100,9,101,0.5,0.045,0.505,0.43627000033527485,0.5735415464009526,0.01,100
1997,cs,200,106,75,74,2,74,0.37,0.01,0.37,0.30612608409859116,0.4387737007594981,0.0,126
1997,physics,200,142,123,101,6,103,0.505,0.03,0.515,0.4461084919274572,0.5833261482812249,0.020202020202020204,99
1998,cs,200,87,64,81,6,84,0.405,0.03,0.42,0.35373599161616726,0.4892792606041954,0.025210084033613446,119
1998,physics,200,151,132,102,16,106,0.51,0.08,0.53,0.4609168291500183,0.5979524512673458,0.04081632653061224,98
1999,cs,200,87,66,77,3,77,0.385,0.015,0.385,0.32033309726923215,0.45400132779753916,0.0,123
1999,physics,200,139,117,121,11,124,0.605,0.055,0.62,0.5510671801561923,0.6844099415132637,0.0379746835443038,79
2000,cs,200,94,67,79,0,79,0.395,0.0,0.395,0.32984101013207967,0.46411650840714636,0.0,121
2000,physics,200,135,118,119,5,121,0.595,0.025,0.605,0.5358834915928536,0.6701589898679203,0.024691358024691357,81
2001,cs,200,81,59,79,3,79,0.395,0.015,0.395,0.32984101013207967,0.46411650840714636,0.0,121
2001,physics,200,133,111,121,10,123,0.605,0.05,0.615,0.5459986722024608,0.6796669027307678,0.02531645569620253,79
2002,cs,200,97,80,112,4,113,0.56,0.02,0.565,0.49570736259794607,0.6318427449730093,0.011363636363636364,88
2002,physics,200,142,126,146,14,150,0.73,0.07,0.75,0.6856590168795417,0.8049183199318249,0.07407407407407407,54
2003,cs,200,92,69,86,9,87,0.43,0.045,0.435,0.36815725502699076,0.504292637402054,0.008771929824561403,114
2003,physics,200,139,120,122,14,125,0.61,0.07,0.625,0.5561430369897816,0.6891456314159018,0.038461538461538464,78
2004,cs,200,93,57,90,3,92,0.45,0.015,0.46,0.39233051799971463,0.5291771081104667,0.01818181818181818,110
2004,physics,200,121,106,127,9,130,0.635,0.045,0.65,0.5816346433604008,0.7127117587264192,0.0410958904109589,73
2005,cs,200,86,65,107,5,107,0.535,0.025,0.535,0.4658664687236316,0.6028143584299599,0.0,93
2005,physics,200,120,101,127,9,128,0.635,0.045,0.64,0.5714152816600309,0.7033080269543346,0.0136986301369863,73
2006,cs,200,97,74,112,5,112,0.56,0.025,0.56,0.4907167533465867,0.6270218074881414,0.0,88
2006,physics,200,141,126,125,8,125,0.625,0.04,0.625,0.5561430369897816,0.6891456314159018,0.0,75
2007,cs,200,79,66,106,3,107,0.53,0.015,0.535,0.4658664687236316,0.6028143584299599,0.010638297872340425,94
2007,physics,200,129,115,150,9,150,0.75,0.045,0.75,0.6856590168795417,0.8049183199318249,0.0,50
2008,cs,200,80,63,112,6,113,0.56,0.03,0.565,0.49570736259794607,0.6318427449730093,0.011363636363636364,88
2008,physics,200,128,109,130,13,131,0.65,0.065,0.655,0.5867558925905368,0.7174020562325106,0.014285714285714285,70
2009,cs,200,81,66,105,4,105,0.525,0.02,0.525,0.4559739601468475,0.5930837735342891,0.0,95
2009,physics,200,128,115,144,13,146,0.72,0.065,0.73,0.6645656480133157,0.7867655018531416,0.03571428571428571,56
2010,cs,200,79,55,102,8,102,0.51,0.04,0.51,0.44118587678458643,0.5784372166878682,0.0,98
2010,physics,200,118,105,148,17,151,0.74,0.085,0.755,0.6909575644379659,0.8094313191096282,0.057692307692307696,52
2011,cs,200,91,67,120,5,120,0.6,0.025,0.6,0.53083672039262,0.6653942143319266,0.0,80
2011,physics,200,119,96,139,13,139,0.695,0.065,0.695,0.6280144790202163,0.7546358436926496,0.0,61
2012,cs,200,87,60,113,17,114,0.565,0.085,0.57,0.5007048776415268,0.6366567766656557,0.011494252873563218,87
2012,physics,200,112,93,136,20,137,0.68,0.1,0.685,0.6176504391426966,0.745376790097715,0.015625,64
2013,cs,200,101,73,112,9,113,0.56,0.045,0.565,0.49570736259794607,0.6318427449730093,0.011363636363636364,88
2013,physics,200,121,98,138,14,139,0.69,0.07,0.695,0.6280144790202163,0.7546358436926496,0.016129032258064516,62
2014,cs,200,99,75,111,14,111,0.555,0.07,0.555,0.4857330241280342,0.6221939899704665,0.0,89
2014,physics,200,124,109,139,22,142,0.695,0.11,0.71,0.6436252189922268,0.7684597439293211,0.04918032786885246,61
2015,cs,200,108,70,108,16,109,0.54,0.08,0.545,0.47578611372488105,0.6125178069011651,0.010869565217391304,92
2015,physics,200,136,112,139,30,142,0.695,0.15,0.71,0.6436252189922268,0.7684597439293211,0.04918032786885246,61
2016,cs,200,124,86,104,18,106,0.52,0.09,0.53,0.4609168291500183,0.5979524512673458,0.020833333333333332,96
2016,physics,200,133,118,147,29,150,0.735,0.145,0.75,0.6856590168795417,0.8049183199318249,0.05660377358490566,53
2017,cs,200,129,87,104,18,106,0.52,0.09,0.53,0.4609168291500183,0.5979524512673458,0.020833333333333332,96
2017,physics,200,143,123,140,39,144,0.7,0.195,0.72,0.6540769541334929,0.7776311022605097,0.06666666666666667,60
2018,cs,200,144,110,117,60,127,0.585,0.3,0.635,0.566317026527406,0.698594735350732,0.12048192771084337,83
2018,physics,200,154,134,131,82,144,0.655,0.41,0.72,0.6540769541334929,0.7776311022605097,0.18840579710144928,69
2019,cs,200,138,104,106,70,120,0.53,0.35,0.6,0.53083672039262,0.6653942143319266,0.14893617021276595,94
2019,physics,200,155,138,147,101,161,0.735,0.505,0.805,0.7445595562538726,0.8539447946559949,0.2641509433962264,53
2020,cs,200,148,108,106,61,115,0.53,0.305,0.575,0.5057093264785485,0.6414638745648614,0.09574468085106383,94
2020,physics,200,171,153,148,119,169,0.74,0.595,0.845,0.7883930940765792,0.8886036307231068,0.40384615384615385,52
2021,cs,200,176,116,133,71,139,0.665,0.355,0.695,0.6280144790202163,0.7546358436926496,0.08955223880597014,67
2021,physics,200,183,161,158,117,166,0.79,0.585,0.83,0.7718411637168737,0.8757209208741302,0.19047619047619047,42
2022,cs,200,190,105,133,80,135,0.665,0.4,0.675,0.6073198511602996,0.7360842846076571,0.029850746268656716,67
2022,physics,200,192,147,141,95,145,0.705,0.475,0.725,0.6593166064233035,0.7822029967069265,0.06779661016949153,59
2023,cs,200,187,101,139,78,147,0.695,0.39,0.735,0.6698242380737758,0.7913184585289088,0.13114754098360656,61
2023,physics,200,197,143,156,100,160,0.78,0.5,0.8,0.7391448134346212,0.8495479907390189,0.09090909090909091,44
2024,cs,200,185,107,134,64,137,0.67,0.32,0.685,0.6176504391426966,0.745376790097715,0.045454545454545456,66
2024,physics,200,191,142,128,82,134,0.64,0.41,0.67,0.602166847737769,0.7314257412939605,0.08333333333333333,72
